,UMAP1,UMAP2
298,0.3854808,-5.419469
299,0.23590899,-5.5282464
300,0.22428063,-5.5375485
301,0.21729755,-5.7922196
302,0.2329957,-5.7994995
303,0.06675914,-7.3011737
304,0.053115305,-7.2894254
305,0.03946772,-7.3152113
306,0.061002336,-7.319147
307,0.06278416,-7.3617396
308,0.13784036,-7.286673
309,0.05312757,-7.3828316
310,0.050404053,-7.395218
311,0.016403005,-7.4202895
312,0.060416467,-7.3874726
313,0.047579285,-7.403062
314,0.008114505,-7.4453454
315,-0.02158027,-7.498806
316,0.004975725,-7.4659553
317,0.029832006,-7.424165
318,0.051607512,-7.423107
319,0.035047226,-7.4308147
320,0.0046523125,-7.4732685
321,-0.012468589,-7.469337
322,0.022388771,-7.426086
323,0.0021137903,-7.460431
324,-0.011703658,-7.480482
325,-0.050657354,-7.4981823
326,-0.06496968,-7.5163355
327,-0.030878516,-7.5010567
328,-0.06925066,-7.52491
329,-0.047674526,-7.5073395
330,-0.07406038,-7.516237
331,-0.07856344,-7.5313616
332,-0.09553181,-7.5427895
333,-0.11709772,-7.554878
334,-0.089631595,-7.542037
335,-0.10242097,-7.542048
336,-0.050102703,-7.5130124
337,-0.020041011,-7.481113
338,-0.103346,-7.5475864
339,-0.0737463,-7.535753
340,2.6702833,-5.0969296
341,2.6043656,-5.0997024
342,2.5890186,-5.0549245
343,2.525781,-5.05414
344,2.5506988,-5.1410823
345,2.5021482,-5.0892744
346,2.3795412,-4.9840436
347,1.8561876,-4.4745226
348,1.3434627,-4.208326
349,0.07009461,-3.1403265
350,0.092617035,-3.215161
351,0.12924102,-3.0604937
352,-0.1801197,-3.0553539
353,-0.27698445,-3.0351763
354,-0.4043094,-2.7402043
355,-0.427138,-2.7554672
356,-0.3255996,-2.9109523
357,-0.42266166,-2.9113326
358,-0.42472264,-2.8623276
359,-0.44359973,-2.814923
360,-0.52580774,-2.6006534
361,-0.41240963,-2.8952134
362,-0.44131356,-2.8419023
363,-0.22966146,-2.9503512
364,0.11989153,-2.8604727
365,-0.16805808,-2.9943972
366,0.69133425,-3.2149646
367,0.6747065,-3.1041446
368,0.7996756,-2.6192336
369,0.84943116,-3.1483264
370,0.5578967,-3.1377933
371,0.42862502,-3.01368
372,-0.30145288,-2.5734046
373,-0.40589857,-2.6955028
374,-0.3006694,-3.0704412
375,-0.28753704,-3.1504712
376,-0.31481373,-3.1236024
377,-0.2819845,-3.0977917
378,-0.3655333,-2.8215077
379,-0.2562052,-2.9301903
380,-0.12598033,-2.6458285
381,-0.067349784,-2.777636
382,-0.12822641,-2.7306347
383,-0.13377915,-2.7595515
384,-0.1629755,-2.8507328
385,-0.19378792,-3.0846364
386,1.8530537,-4.202123
387,1.8522184,-4.40175
388,1.9331328,-4.1934533
389,0.5585052,-3.1598415
390,0.5197695,-3.1240895
391,1.4861221,-4.4313297
392,1.6562312,-4.5837865
393,1.880555,-4.907654
394,1.7843031,-4.7215657
395,2.022877,-5.0177255
396,2.1790135,-5.140044
397,2.300046,-5.0995617
398,2.1024652,-5.1145134
399,1.9640064,-5.0195737
400,2.017197,-5.0893908
401,2.769987,-5.296949
402,2.51594,-5.319776
403,2.4245543,-5.325816
404,2.2476196,-5.252922
405,1.9554859,-5.0960007
406,2.3538573,-5.3318114
407,2.1997194,-5.2718368
408,2.608377,-5.3882265
409,2.254192,-5.283387
410,2.7139525,-5.3752165
411,2.5689902,-5.4213243
412,2.5631614,-5.381072
413,2.239187,-5.2873955
414,2.209754,-5.272805
415,2.2952166,-5.3246317
416,2.2156012,-5.284181
417,1.974042,-5.127937
418,1.9514915,-5.1306586
419,2.1591687,-5.249564
